,Date,MinTemp,MaxTemp,Rainfall
0,2007-11-01,8.0,24.3,0.0
1,2007-11-02,14.0,26.9,3.6
2,2007-11-03,13.7,23.4,3.6
3,2007-11-04,13.3,15.5,39.8
4,2007-11-05,7.6,16.1,2.8
5,2007-11-06,6.2,16.9,0.0
6,2007-11-07,6.1,18.2,0.2
7,2007-11-08,8.3,17.0,0.0
8,2007-11-09,8.8,19.5,0.0
9,2007-11-10,8.4,22.8,16.2
10,2007-11-11,9.1,25.2,0.0
11,2007-11-12,8.5,27.3,0.2
12,2007-11-13,10.1,27.9,0.0
13,2007-11-14,12.1,30.9,0.0
14,2007-11-15,10.1,31.2,0.0
15,2007-11-16,12.4,32.1,0.0
16,2007-11-17,13.8,31.2,0.0
17,2007-11-18,11.7,30.0,1.2
18,2007-11-19,12.4,32.3,0.6
19,2007-11-20,15.6,33.4,0.0
20,2007-11-21,15.3,33.4,0.0
21,2007-11-22,16.4,19.4,0.4
22,2007-11-23,12.8,18.5,25.8
23,2007-11-24,12.0,24.3,0.4
24,2007-11-25,15.4,28.4,0.0
25,2007-11-26,15.6,26.9,0.0
26,2007-11-27,13.3,22.2,0.2
27,2007-11-28,12.9,28.0,0.0
28,2007-11-29,15.1,24.3,0.0
29,2007-11-30,13.6,24.1,0.4
30,2007-12-01,15.1,20.4,22.6
31,2007-12-02,11.6,26.3,4.2
32,2007-12-03,16.6,24.2,0.2
33,2007-12-04,13.3,26.5,6.6
34,2007-12-05,14.5,21.8,0.0
35,2007-12-06,16.3,26.8,0.0
36,2007-12-07,17.2,25.8,0.0
37,2007-12-08,16.5,28.2,4.0
38,2007-12-09,15.0,29.4,0.0
39,2007-12-10,14.9,24.8,0.0
40,2007-12-11,11.8,18.5,0.6
41,2007-12-12,11.7,21.5,0.0
42,2007-12-13,9.6,20.3,0.0
43,2007-12-14,8.9,27.1,0.0
44,2007-12-15,10.1,29.9,0.0
45,2007-12-16,15.5,21.1,5.4
46,2007-12-17,10.8,21.7,1.4
47,2007-12-18,7.5,20.9,0.0
48,2007-12-19,12.8,21.0,0.0
49,2007-12-20,12.6,23.1,3.4
50,2007-12-21,14.8,29.5,6.4
51,2007-12-22,19.9,22.0,11.0
52,2007-12-23,9.2,20.4,17.4
53,2007-12-24,12.4,24.4,0.0
54,2007-12-25,11.3,21.7,3.4
55,2007-12-26,9.8,26.3,0.0
56,2007-12-27,14.3,26.7,0.0
57,2007-12-28,15.1,28.3,14.4
58,2007-12-29,14.4,31.6,0.0
59,2007-12-30,15.4,35.0,0.0
60,2007-12-31,13.8,33.5,0.0
61,2008-01-01,13.6,34.2,0.0
62,2008-01-02,14.3,35.0,0.0
63,2008-01-03,15.9,23.4,0.0
64,2008-01-04,16.7,25.3,0.0
