,Date,WindSpeed9am,Humidity9am,Pressure9am
0,2007-11-01,6.0,68.0,1019.7
1,2007-11-02,4.0,80.0,1012.4
2,2007-11-03,6.0,82.0,1009.5
3,2007-11-04,30.0,62.0,1005.5
4,2007-11-05,20.0,68.0,1018.3
5,2007-11-06,20.0,70.0,1023.8
6,2007-11-07,19.0,63.0,1024.6
7,2007-11-08,11.0,65.0,1026.2
8,2007-11-09,19.0,70.0,1026.1
9,2007-11-10,7.0,82.0,1024.1
10,2007-11-11,6.0,74.0,1024.4
11,2007-11-12,2.0,54.0,1023.8
12,2007-11-13,6.0,62.0,1022.0
13,2007-11-14,7.0,67.0,1017.3
14,2007-11-15,6.0,45.0,1018.2
15,2007-11-16,7.0,70.0,1017.9
16,2007-11-17,6.0,72.0,1014.4
17,2007-11-18,6.0,59.0,1016.4
18,2007-11-19,4.0,60.0,1017.1
19,2007-11-20,2.0,61.0,1018.5
20,2007-11-21,2.0,60.0,1012.4
21,2007-11-22,6.0,88.0,1010.7
22,2007-11-23,13.0,91.0,1014.0
23,2007-11-24,6.0,74.0,1020.7
24,2007-11-25,9.0,85.0,1022.4
25,2007-11-26,6.0,65.0,1019.7
26,2007-11-27,20.0,70.0,1021.0
27,2007-11-28,6.0,61.0,1019.2
28,2007-11-29,7.0,69.0,1019.0
29,2007-11-30,6.0,83.0,1017.2
30,2007-12-01,6.0,82.0,1015.0
31,2007-12-02,6.0,66.0,1013.9
32,2007-12-03,13.0,72.0,1007.9
33,2007-12-04,20.0,74.0,1007.3
34,2007-12-05,11.0,69.0,1015.0
35,2007-12-06,13.0,78.0,1018.8
36,2007-12-07,6.0,70.0,1014.5
37,2007-12-08,7.0,76.0,1014.8
38,2007-12-09,9.0,78.0,1010.8
39,2007-12-10,11.0,58.0,1011.7
40,2007-12-11,9.0,60.0,1018.0
41,2007-12-12,15.0,66.0,1021.1
42,2007-12-13,22.0,70.0,1021.9
43,2007-12-14,6.0,63.0,1018.1
44,2007-12-15,2.0,63.0,1012.6
45,2007-12-16,6.0,93.0,1010.1
46,2007-12-17,13.0,59.0,1017.6
47,2007-12-18,13.0,61.0,1020.6
48,2007-12-19,7.0,72.0,1018.0
49,2007-12-20,4.0,97.0,1015.8
50,2007-12-21,6.0,81.0,1012.9
51,2007-12-22,41.0,92.0,996.5
52,2007-12-23,9.0,59.0,1009.5
53,2007-12-24,7.0,69.0,1012.8
54,2007-12-25,11.0,67.0,1020.4
55,2007-12-26,6.0,63.0,1023.2
56,2007-12-27,7.0,68.0,1017.3
57,2007-12-28,6.0,73.0,1016.8
58,2007-12-29,6.0,65.0,1017.1
59,2007-12-30,6.0,55.0,1017.4
60,2007-12-31,7.0,44.0,1019.2
61,2008-01-01,2.0,50.0,1015.8
62,2008-01-02,2.0,43.0,1012.6
63,2008-01-03,20.0,69.0,1016.8
64,2008-01-04,24.0,56.0,1016.2
65,2008-01-05,7.0,69.0,1011.8
66,2008-01-06,6.0,77.0,1006.6
67,2008-01-07,11.0,60.0,1012.3
68,2008-01-08,7.0,77.0,1015.7
69,2008-01-09,13.0,74.0,1018.5
70,2008-01-10,6.0,64.0,1017.8
71,2008-01-11,6.0,56.0,1011.8
