,Date,MinTemp,MaxTemp,Rainfall,Year,Month,Day
0,2007-11-01,8.0,24.3,0.0,2007,11,1
1,2007-11-02,14.0,26.9,3.6,2007,11,2
2,2007-11-03,13.7,23.4,3.6,2007,11,3
3,2007-11-04,13.3,15.5,39.8,2007,11,4
4,2007-11-05,7.6,16.1,2.8,2007,11,5
5,2007-11-06,6.2,16.9,0.0,2007,11,6
6,2007-11-07,6.1,18.2,0.2,2007,11,7
7,2007-11-08,8.3,17.0,0.0,2007,11,8
8,2007-11-09,8.8,19.5,0.0,2007,11,9
9,2007-11-10,8.4,22.8,16.2,2007,11,10
10,2007-11-11,9.1,25.2,0.0,2007,11,11
11,2007-11-12,8.5,27.3,0.2,2007,11,12
12,2007-11-13,10.1,27.9,0.0,2007,11,13
13,2007-11-14,12.1,30.9,0.0,2007,11,14
14,2007-11-15,10.1,31.2,0.0,2007,11,15
15,2007-11-16,12.4,32.1,0.0,2007,11,16
16,2007-11-17,13.8,31.2,0.0,2007,11,17
17,2007-11-18,11.7,30.0,1.2,2007,11,18
18,2007-11-19,12.4,32.3,0.6,2007,11,19
19,2007-11-20,15.6,33.4,0.0,2007,11,20
20,2007-11-21,15.3,33.4,0.0,2007,11,21
21,2007-11-22,16.4,19.4,0.4,2007,11,22
22,2007-11-23,12.8,18.5,25.8,2007,11,23
23,2007-11-24,12.0,24.3,0.4,2007,11,24
24,2007-11-25,15.4,28.4,0.0,2007,11,25
25,2007-11-26,15.6,26.9,0.0,2007,11,26
26,2007-11-27,13.3,22.2,0.2,2007,11,27
27,2007-11-28,12.9,28.0,0.0,2007,11,28
28,2007-11-29,15.1,24.3,0.0,2007,11,29
29,2007-11-30,13.6,24.1,0.4,2007,11,30
30,2007-12-01,15.1,20.4,22.6,2007,12,1
31,2007-12-02,11.6,26.3,4.2,2007,12,2
32,2007-12-03,16.6,24.2,0.2,2007,12,3
33,2007-12-04,13.3,26.5,6.6,2007,12,4
34,2007-12-05,14.5,21.8,0.0,2007,12,5
35,2007-12-06,16.3,26.8,0.0,2007,12,6
36,2007-12-07,17.2,25.8,0.0,2007,12,7
37,2007-12-08,16.5,28.2,4.0,2007,12,8
38,2007-12-09,15.0,29.4,0.0,2007,12,9
39,2007-12-10,14.9,24.8,0.0,2007,12,10
40,2007-12-11,11.8,18.5,0.6,2007,12,11
41,2007-12-12,11.7,21.5,0.0,2007,12,12
42,2007-12-13,9.6,20.3,0.0,2007,12,13
43,2007-12-14,8.9,27.1,0.0,2007,12,14
44,2007-12-15,10.1,29.9,0.0,2007,12,15
45,2007-12-16,15.5,21.1,5.4,2007,12,16
46,2007-12-17,10.8,21.7,1.4,2007,12,17
47,2007-12-18,7.5,20.9,0.0,2007,12,18
48,2007-12-19,12.8,21.0,0.0,2007,12,19
49,2007-12-20,12.6,23.1,3.4,2007,12,20
50,2007-12-21,14.8,29.5,6.4,2007,12,21
51,2007-12-22,19.9,22.0,11.0,2007,12,22
52,2007-12-23,9.2,20.4,17.4,2007,12,23
53,2007-12-24,12.4,24.4,0.0,2007,12,24
54,2007-12-25,11.3,21.7,3.4,2007,12,25
55,2007-12-26,9.8,26.3,0.0,2007,12,26
56,2007-12-27,14.3,26.7,0.0,2007,12,27
57,2007-12-28,15.1,28.3,14.4,2007,12,28
58,2007-12-29,14.4,31.6,0.0,2007,12,29
59,2007-12-30,15.4,35.0,0.0,2007,12,30
60,2007-12-31,13.8,33.5,0.0,2007,12,31
61,2008-01-01,13.6,34.2,0.0,2008,1,1
62,2008-01-02,14.3,35.0,0.0,2008,1,2
63,2008-01-03,15.9,23.4,0.0,2008,1,3
64,2008-01-04,16.7,25.3,0.0,2008,1,4
65,2008-01-05,12.1,27.5,0.0,2008,1,5
66,2008-01-06,14.3,34.1,0.0,2008,1,6
67,2008-01-07,16.5,33.9,0.0,2008,1,7
68,2008-01-08,16.5,30.3,0.0,2008,1,8
69,2008-01-09,17.5,29.9,0.0,2008,1,9
70,2008-01-10,14.7,34.2,0.0,2008,1,10
71,2008-01-11,17.5,35.8,0.0,2008,1,11
72,2008-01-12,20.9,35.7,0.0,2008,1,12
73,2008-01-13,17.0,33.8,2.0,2008,1,13
74,2008-01-14,16.0,22.8,0.0,2008,1,14
75,2008-01-15,15.4,33.8,0.0,2008,1,15
76,2008-01-16,17.9,33.2,0.0,2008,1,16
77,2008-01-17,15.2,25.1,4.8,2008,1,17
78,2008-01-18,15.1,20.4,0.0,2008,1,18
79,2008-01-19,15.3,19.6,18.8,2008,1,19
80,2008-01-20,17.2,24.7,12.2,2008,1,20
81,2008-01-21,15.9,19.9,0.8,2008,1,21
82,2008-01-22,10.0,22.5,0.0,2008,1,22
83,2008-01-23,9.9,24.4,0.0,2008,1,23
84,2008-01-24,10.3,27.8,0.0,2008,1,24
85,2008-01-25,15.4,25.7,0.0,2008,1,25
86,2008-01-26,12.7,28.8,0.0,2008,1,26
87,2008-01-27,13.2,31.3,0.0,2008,1,27
88,2008-01-28,15.3,33.2,0.0,2008,1,28
89,2008-01-29,17.9,33.9,0.0,2008,1,29
90,2008-01-30,18.0,34.9,0.0,2008,1,30
91,2008-01-31,17.6,27.8,5.2,2008,1,31
92,2008-02-01,17.75,23.1,8.9,2008,2,1
93,2008-02-02,17.2,27.200000000000003,3.0,2008,2,2
94,2008-02-03,19.35,27.05,3.3,2008,2,3
95,2008-02-04,19.2,22.700000000000003,10.3,2008,2,4
96,2008-02-05,18.25,24.25,43.2,2008,2,5
97,2008-02-06,16.9,27.299999999999997,1.3,2008,2,6
98,2008-02-07,16.55,25.25,3.1,2008,2,7
99,2008-02-08,14.8,21.1,21.9,2008,2,8
100,2008-02-09,13.399999999999999,20.85,6.3,2008,2,9
101,2008-02-10,11.85,23.65,4.4,2008,2,10
102,2008-02-11,12.649999999999999,24.95,0.0,2008,2,11
103,2008-02-12,16.7,25.75,2.2,2008,2,12
104,2008-02-13,15.5,20.5,12.7,2008,2,13
105,2008-02-14,12.75,24.25,1.6,2008,2,14
106,2008-02-15,14.55,24.799999999999997,0.0,2008,2,15
107,2008-02-16,13.95,25.1,0.0,2008,2,16
108,2008-02-17,15.8,24.450000000000003,0.0,2008,2,17
109,2008-02-18,14.700000000000001,25.55,0.0,2008,2,18
110,2008-02-19,15.2,25.950000000000003,0.0,2008,2,19
111,2008-02-20,15.15,27.65,0.0,2008,2,20
112,2008-02-21,18.450000000000003,25.8,0.9,2008,2,21
113,2008-02-22,15.9,27.0,3.5,2008,2,22
114,2008-02-23,16.6,25.55,0.0,2008,2,23
115,2008-02-24,14.25,26.05,0.0,2008,2,24
116,2008-02-25,16.0,25.049999999999997,0.0,2008,2,25
117,2008-02-26,16.15,27.2,0.0,2008,2,26
118,2008-02-27,15.35,28.3,11.1,2008,2,27
119,2008-02-28,16.35,19.35,2.1,2008,2,28
120,2008-02-29,11.2,19.5,21.7,2008,2,29
121,2008-03-01,8.600000000000001,21.9,0.1,2008,3,1
122,2008-03-02,10.8,23.9,2.7,2008,3,2
123,2008-03-03,11.65,25.200000000000003,0.1,2008,3,3
124,2008-03-04,12.8,26.799999999999997,0.0,2008,3,4
125,2008-03-05,15.35,26.700000000000003,0.0,2008,3,5
126,2008-03-06,16.25,28.9,0.0,2008,3,6
127,2008-03-07,15.35,27.049999999999997,0.0,2008,3,7
128,2008-03-08,13.0,26.1,10.2,2008,3,8
129,2008-03-09,14.25,26.05,0.0,2008,3,9
130,2008-03-10,15.9,29.0,0.0,2008,3,10
131,2008-03-11,16.25,30.400000000000002,0.0,2008,3,11
132,2008-03-12,16.3,29.049999999999997,0.1,2008,3,12
