,Date,MinTemp,MaxTemp
67200,2008-07-01,9.5,15.4
67201,2008-07-02,11.0,14.5
67202,2008-07-03,8.4,14.1
67203,2008-07-04,9.1,14.5
67204,2008-07-05,4.3,15.5
67205,2008-07-06,5.5,15.4
67206,2008-07-07,11.5,14.3
67207,2008-07-08,6.9,10.4
67208,2008-07-09,3.6,14.8
67209,2008-07-10,4.2,13.5
67210,2008-07-11,7.4,13.5
67211,2008-07-12,6.6,11.3
67212,2008-07-13,8.4,14.3
67213,2008-07-14,7.4,18.9
67214,2008-07-15,8.4,17.6
67215,2008-07-16,6.2,16.4
67216,2008-07-17,7.5,13.6
67217,2008-07-18,9.1,12.4
67218,2008-07-19,6.4,14.1
67219,2008-07-20,8.3,14.0
67220,2008-07-21,8.5,13.4
67221,2008-07-22,6.2,12.6
67222,2008-07-23,6.6,11.9
67223,2008-07-24,4.2,16.1
67224,2008-07-25,3.8,16.1
67225,2008-07-26,4.7,13.3
67226,2008-07-27,6.6,10.2
67227,2008-07-28,6.0,13.8
67228,2008-07-29,3.4,14.4
67229,2008-07-30,4.4,15.2
67230,2008-07-31,6.5,15.4
67231,2008-08-01,9.7,14.7
67232,2008-08-02,8.6,15.3
67233,2008-08-03,7.9,14.9
67234,2008-08-04,9.7,13.6
67235,2008-08-05,5.6,15.0
67236,2008-08-06,7.2,16.6
67237,2008-08-07,6.8,15.4
67238,2008-08-08,4.4,14.7
67239,2008-08-09,5.3,13.4
67240,2008-08-10,5.6,12.2
67241,2008-08-11,5.1,13.5
67242,2008-08-12,7.3,13.2
67243,2008-08-13,5.5,13.0
67244,2008-08-14,7.4,14.1
67245,2008-08-15,9.9,14.2
67246,2008-08-16,8.5,14.3
67247,2008-08-17,7.8,12.9
67248,2008-08-18,6.7,14.3
67249,2008-08-19,6.2,15.2
67250,2008-08-20,9.7,15.3
67251,2008-08-21,9.7,9.9
67252,2008-08-22,5.9,12.8
67253,2008-08-23,4.8,14.2
67254,2008-08-24,7.4,14.2
67255,2008-08-25,3.2,14.3
67256,2008-08-26,5.9,17.3
67257,2008-08-27,7.4,15.3
67258,2008-08-28,9.3,14.9
67259,2008-08-29,7.3,19.3
67260,2008-08-30,8.6,18.2
67261,2008-08-31,13.0,18.6
67262,2008-09-01,8.0,16.4
67263,2008-09-02,10.1,17.2
67264,2008-09-03,9.2,15.8
67265,2008-09-04,5.4,18.5
67266,2008-09-05,7.5,19.0
67267,2008-09-06,7.3,18.9
67268,2008-09-07,10.2,17.5
67269,2008-09-08,9.7,15.2
67270,2008-09-09,10.3,14.6
67271,2008-09-10,6.0,19.7
67272,2008-09-11,9.3,18.9
67273,2008-09-12,14.0,24.5
67274,2008-09-13,16.3,25.5
67275,2008-09-14,15.5,18.8
67276,2008-09-15,12.5,16.8
67277,2008-09-16,7.2,14.3
67278,2008-09-17,4.8,18.4
67279,2008-09-18,8.9,18.9
67280,2008-09-19,14.4,24.9
67281,2008-09-20,10.8,19.2
67282,2008-09-21,6.5,19.8
67283,2008-09-22,12.9,23.1
67284,2008-09-23,5.1,18.2
67285,2008-09-24,7.2,18.6
67286,2008-09-25,8.0,23.4
67287,2008-09-26,14.7,28.2
67288,2008-09-27,11.7,24.0
67289,2008-09-28,11.6,20.7
67290,2008-09-29,9.0,15.2
67291,2008-09-30,8.3,17.5
67292,2008-10-01,6.7,22.4
67293,2008-10-02,14.4,24.5
67294,2008-10-03,10.9,26.2
67295,2008-10-04,11.5,17.6
67296,2008-10-05,5.7,21.8
67297,2008-10-06,10.0,14.3
67298,2008-10-07,8.0,16.0
67299,2008-10-08,10.1,16.2
67300,2008-10-09,10.1,20.0
67301,2008-10-10,8.0,26.3
67302,2008-10-11,9.7,27.9
67303,2008-10-12,14.2,30.6
67304,2008-10-13,15.7,19.3
67305,2008-10-14,10.1,17.5
67306,2008-10-15,9.9,20.1
67307,2008-10-16,12.3,20.6
67308,2008-10-17,10.7,22.7
67309,2008-10-18,12.3,31.7
67310,2008-10-19,15.0,18.1
67311,2008-10-20,11.6,17.5
67312,2008-10-21,11.1,17.5
67313,2008-10-22,9.3,16.5
67314,2008-10-23,6.6,21.2
67315,2008-10-24,10.3,25.3
67316,2008-10-25,11.9,28.9
67317,2008-10-26,21.5,30.5
67318,2008-10-27,17.7,22.0
67319,2008-10-28,13.0,19.3
67320,2008-10-29,10.7,21.7
67321,2008-10-30,13.2,29.9
67322,2008-10-31,16.1,21.2
67323,2008-11-01,12.4,18.4
67324,2008-11-02,12.5,29.1
67325,2008-11-03,14.6,18.3
67326,2008-11-04,10.7,17.3
67327,2008-11-05,8.6,26.7
67328,2008-11-06,11.5,24.0
67329,2008-11-07,12.5,21.5
67330,2008-11-08,12.8,19.7
67331,2008-11-09,11.3,27.1
67332,2008-11-10,13.0,23.4
67333,2008-11-11,12.9,32.0
67334,2008-11-12,16.7,35.4
67335,2008-11-13,20.7,34.2
67336,2008-11-14,14.9,21.4
67337,2008-11-15,12.0,22.7
67338,2008-11-16,11.7,17.4
67339,2008-11-17,11.7,19.2
67340,2008-11-18,10.2,19.9
67341,2008-11-19,14.0,21.0
67342,2008-11-20,14.9,16.9
67343,2008-11-21,10.8,20.6
67344,2008-11-22,7.9,15.5
67345,2008-11-23,8.2,18.2
67346,2008-11-24,12.7,17.6
67347,2008-11-25,10.3,26.2
67348,2008-11-26,11.9,29.8
67349,2008-11-27,17.4,30.6
67350,2008-11-28,15.5,20.7
67351,2008-11-29,13.7,19.6
67352,2008-11-30,10.2,25.2
67353,2008-12-01,11.8,20.8
67354,2008-12-02,10.7,23.1
67355,2008-12-03,14.3,19.9
67356,2008-12-04,10.4,25.6
67357,2008-12-05,15.1,32.9
67358,2008-12-06,15.9,25.0
67359,2008-12-07,11.1,19.4
67360,2008-12-08,11.4,22.4
67361,2008-12-09,11.5,19.5
67362,2008-12-10,13.1,19.6
67363,2008-12-11,11.9,22.8
67364,2008-12-12,14.1,22.5
67365,2008-12-13,15.7,17.1
67366,2008-12-14,12.8,19.7
67367,2008-12-15,13.2,21.4
67368,2008-12-16,13.0,19.9
67369,2008-12-17,13.7,21.3
67370,2008-12-18,14.1,20.3
67371,2008-12-19,10.9,18.7
67372,2008-12-20,9.9,21.2
67373,2008-12-21,12.5,30.4
67374,2008-12-22,17.3,35.2
67375,2008-12-23,16.1,21.1
67376,2008-12-24,12.7,24.4
67377,2008-12-25,14.9,22.9
67378,2008-12-26,13.9,28.9
67379,2008-12-27,16.8,27.2
67380,2008-12-28,14.8,27.8
67381,2008-12-29,14.8,21.5
67382,2008-12-30,14.5,24.2
67383,2008-12-31,12.9,24.1
67384,2009-01-01,14.7,20.4
