,Date,WindSpeed9am,Humidity9am,Pressure9am
67200,2008-07-01,37.0,60.0,1006.8
67201,2008-07-02,30.0,66.0,1013.4
67202,2008-07-03,17.0,72.0,1024.8
67203,2008-07-04,9.0,87.0,1030.2
67204,2008-07-05,24.0,81.0,1028.9
67205,2008-07-06,31.0,68.0,1023.1
67206,2008-07-07,28.0,73.0,1016.3
67207,2008-07-08,13.0,80.0,1017.1
67208,2008-07-09,11.0,95.0,1023.1
67209,2008-07-10,15.0,87.0,1009.4
67210,2008-07-11,26.0,71.0,1016.3
67211,2008-07-12,22.0,68.0,1023.2
67212,2008-07-13,33.0,49.0,1017.1
67213,2008-07-14,7.0,78.0,1017.4
67214,2008-07-15,17.0,70.0,1019.9
67215,2008-07-16,19.0,86.0,1022.2
67216,2008-07-17,35.0,70.0,1013.5
67217,2008-07-18,20.0,87.0,1008.2
67218,2008-07-19,33.0,74.0,1012.5
67219,2008-07-20,43.0,63.0,1004.4
67220,2008-07-21,31.0,78.0,1011.7
67221,2008-07-22,15.0,78.0,1029.0
67222,2008-07-23,0.0,85.0,1034.1
67223,2008-07-24,11.0,95.0,1031.2
67224,2008-07-25,20.0,78.0,1024.8
67225,2008-07-26,24.0,79.0,1017.3
67226,2008-07-27,11.0,91.0,1013.5
67227,2008-07-28,9.0,71.0,1021.6
67228,2008-07-29,11.0,84.0,1023.0
67229,2008-07-30,28.0,76.0,1015.5
67230,2008-07-31,41.0,64.0,1011.6
67231,2008-08-01,28.0,70.0,999.7
67232,2008-08-02,19.0,78.0,1015.9
67233,2008-08-03,22.0,69.0,1019.2
67234,2008-08-04,17.0,61.0,1017.7
67235,2008-08-05,6.0,81.0,1024.4
67236,2008-08-06,13.0,89.0,1021.7
67237,2008-08-07,2.0,70.0,1017.6
67238,2008-08-08,19.0,61.0,1021.8
67239,2008-08-09,17.0,73.0,1021.0
67240,2008-08-10,19.0,83.0,1013.9
67241,2008-08-11,19.0,75.0,1020.1
67242,2008-08-12,13.0,60.0,1020.2
67243,2008-08-13,24.0,68.0,1027.1
67244,2008-08-14,31.0,75.0,1025.1
67245,2008-08-15,26.0,77.0,1018.5
