,Date,Location,WindSpeed9am
30176,2008-02-01,Sydney,17.0
30177,2008-02-02,Sydney,9.0
30178,2008-02-03,Sydney,17.0
30179,2008-02-04,Sydney,22.0
30180,2008-02-05,Sydney,11.0
30181,2008-02-06,Sydney,9.0
30182,2008-02-07,Sydney,15.0
30183,2008-02-08,Sydney,7.0
30184,2008-02-09,Sydney,19.0
30185,2008-02-10,Sydney,11.0
30186,2008-02-11,Sydney,9.0
30187,2008-02-12,Sydney,7.0
30188,2008-02-13,Sydney,24.0
30189,2008-02-14,Sydney,15.0
30190,2008-02-15,Sydney,19.0
30191,2008-02-16,Sydney,11.0
30192,2008-02-17,Sydney,13.0
30193,2008-02-18,Sydney,13.0
30194,2008-02-19,Sydney,7.0
30195,2008-02-20,Sydney,13.0
30196,2008-02-21,Sydney,4.0
30197,2008-02-22,Sydney,11.0
30198,2008-02-23,Sydney,20.0
30199,2008-02-24,Sydney,11.0
30200,2008-02-25,Sydney,15.0
30201,2008-02-26,Sydney,2.0
30202,2008-02-27,Sydney,0.0
30203,2008-02-28,Sydney,20.0
30204,2008-02-29,Sydney,24.0
30205,2008-03-01,Sydney,19.0
30206,2008-03-02,Sydney,13.0
30207,2008-03-03,Sydney,15.0
30208,2008-03-04,Sydney,9.0
30209,2008-03-05,Sydney,19.0
30210,2008-03-06,Sydney,11.0
30211,2008-03-07,Sydney,13.0
30212,2008-03-08,Sydney,9.0
30213,2008-03-09,Sydney,9.0
30214,2008-03-10,Sydney,9.0
30215,2008-03-11,Sydney,2.0
30216,2008-03-12,Sydney,7.0
30217,2008-03-13,Sydney,6.0
30218,2008-03-14,Sydney,9.0
30219,2008-03-15,Sydney,2.0
30220,2008-03-16,Sydney,7.0
30221,2008-03-17,Sydney,4.0
30222,2008-03-18,Sydney,11.0
30223,2008-03-19,Sydney,7.0
30224,2008-03-20,Sydney,6.0
30225,2008-03-21,Sydney,26.0
30226,2008-03-22,Sydney,24.0
30227,2008-03-23,Sydney,9.0
30228,2008-03-24,Sydney,7.0
30229,2008-03-25,Sydney,4.0
30230,2008-03-26,Sydney,0.0
30231,2008-03-27,Sydney,20.0
30232,2008-03-28,Sydney,13.0
30233,2008-03-29,Sydney,15.0
30234,2008-03-30,Sydney,22.0
30235,2008-03-31,Sydney,9.0
30236,2008-04-01,Sydney,20.0
30237,2008-04-02,Sydney,6.0
30238,2008-04-03,Sydney,26.0
30239,2008-04-04,Sydney,24.0
30240,2008-04-05,Sydney,13.0
30241,2008-04-06,Sydney,13.0
30242,2008-04-07,Sydney,11.0
30243,2008-04-08,Sydney,20.0
30244,2008-04-09,Sydney,13.0
30245,2008-04-10,Sydney,15.0
30246,2008-04-11,Sydney,15.0
30247,2008-04-12,Sydney,11.0
30248,2008-04-13,Sydney,11.0
30249,2008-04-14,Sydney,19.0
30250,2008-04-15,Sydney,20.0
30251,2008-04-16,Sydney,15.0
30252,2008-04-17,Sydney,17.0
30253,2008-04-18,Sydney,4.0
30254,2008-04-19,Sydney,22.0
30255,2008-04-20,Sydney,15.0
30256,2008-04-21,Sydney,9.0
30257,2008-04-22,Sydney,9.0
30258,2008-04-23,Sydney,6.0
30259,2008-04-24,Sydney,19.0
30260,2008-04-25,Sydney,17.0
30261,2008-04-26,Sydney,15.0
30262,2008-04-27,Sydney,20.0
30263,2008-04-28,Sydney,20.0
30264,2008-04-29,Sydney,24.0
30265,2008-04-30,Sydney,15.0
30266,2008-05-01,Sydney,11.0
30267,2008-05-02,Sydney,19.0
30268,2008-05-03,Sydney,19.0
30269,2008-05-04,Sydney,22.0
30270,2008-05-05,Sydney,15.0
30271,2008-05-06,Sydney,9.0
30272,2008-05-07,Sydney,22.0
30273,2008-05-08,Sydney,24.0
30274,2008-05-09,Sydney,17.0
30275,2008-05-10,Sydney,11.0
30276,2008-05-11,Sydney,13.0
30277,2008-05-12,Sydney,11.0
30278,2008-05-13,Sydney,11.0
30279,2008-05-14,Sydney,20.0
30280,2008-05-15,Sydney,13.0
30281,2008-05-16,Sydney,15.0
30282,2008-05-17,Sydney,20.0
30283,2008-05-18,Sydney,19.0
30284,2008-05-19,Sydney,22.0
30285,2008-05-20,Sydney,24.0
30286,2008-05-21,Sydney,19.0
30287,2008-05-22,Sydney,20.0
30288,2008-05-23,Sydney,17.0
30289,2008-05-24,Sydney,13.0
30290,2008-05-25,Sydney,17.0
30291,2008-05-26,Sydney,20.0
30292,2008-05-27,Sydney,15.0
30293,2008-05-28,Sydney,26.0
30294,2008-05-29,Sydney,19.0
30295,2008-05-30,Sydney,19.0
30296,2008-05-31,Sydney,17.0
30297,2008-06-01,Sydney,19.0
30298,2008-06-02,Sydney,9.0
30299,2008-06-03,Sydney,17.0
30300,2008-06-04,Sydney,19.0
30301,2008-06-05,Sydney,24.0
30302,2008-06-06,Sydney,15.0
30303,2008-06-07,Sydney,19.0
30304,2008-06-08,Sydney,17.0
30305,2008-06-09,Sydney,13.0
30306,2008-06-10,Sydney,13.0
30307,2008-06-11,Sydney,6.0
30308,2008-06-12,Sydney,11.0
30309,2008-06-13,Sydney,20.0
30310,2008-06-14,Sydney,30.0
30311,2008-06-15,Sydney,24.0
30312,2008-06-16,Sydney,19.0
30313,2008-06-17,Sydney,11.0
30314,2008-06-18,Sydney,13.0
30315,2008-06-19,Sydney,13.0
30316,2008-06-20,Sydney,19.0
30317,2008-06-21,Sydney,15.0
30318,2008-06-22,Sydney,22.0
30319,2008-06-23,Sydney,13.0
30320,2008-06-24,Sydney,19.0
30321,2008-06-25,Sydney,17.0
30322,2008-06-26,Sydney,28.0
30323,2008-06-27,Sydney,24.0
30324,2008-06-28,Sydney,20.0
30325,2008-06-29,Sydney,13.0
30326,2008-06-30,Sydney,19.0
30327,2008-07-01,Sydney,0.0
30328,2008-07-02,Sydney,26.0
30329,2008-07-03,Sydney,17.0
30330,2008-07-04,Sydney,20.0
30331,2008-07-05,Sydney,11.0
30332,2008-07-06,Sydney,15.0
30333,2008-07-07,Sydney,9.0
30334,2008-07-08,Sydney,11.0
30335,2008-07-09,Sydney,15.0
30336,2008-07-10,Sydney,11.0
30337,2008-07-11,Sydney,24.0
30338,2008-07-12,Sydney,17.0
30339,2008-07-13,Sydney,4.0
30340,2008-07-14,Sydney,0.0
30341,2008-07-15,Sydney,20.0
30342,2008-07-16,Sydney,13.0
30343,2008-07-17,Sydney,15.0
30344,2008-07-18,Sydney,13.0
30345,2008-07-19,Sydney,4.0
30346,2008-07-20,Sydney,6.0
30347,2008-07-21,Sydney,26.0
30348,2008-07-22,Sydney,19.0
30349,2008-07-23,Sydney,22.0
30350,2008-07-24,Sydney,19.0
30351,2008-07-25,Sydney,15.0
30352,2008-07-26,Sydney,24.0
30353,2008-07-27,Sydney,11.0
30354,2008-07-28,Sydney,20.0
30355,2008-07-29,Sydney,22.0
30356,2008-07-30,Sydney,19.0
30357,2008-07-31,Sydney,19.0
30358,2008-08-01,Sydney,17.0
30359,2008-08-02,Sydney,28.0
30360,2008-08-03,Sydney,20.0
30361,2008-08-04,Sydney,13.0
30362,2008-08-05,Sydney,22.0
30363,2008-08-06,Sydney,15.0
30364,2008-08-07,Sydney,20.0
30365,2008-08-08,Sydney,17.0
30366,2008-08-09,Sydney,19.0
30367,2008-08-10,Sydney,19.0
30368,2008-08-11,Sydney,33.0
30369,2008-08-12,Sydney,19.0
30370,2008-08-13,Sydney,22.0
30371,2008-08-14,Sydney,22.0
30372,2008-08-15,Sydney,22.0
30373,2008-08-16,Sydney,22.0
30374,2008-08-17,Sydney,17.0
30375,2008-08-18,Sydney,20.0
30376,2008-08-19,Sydney,22.0
30377,2008-08-20,Sydney,2.0
30378,2008-08-21,Sydney,7.0
30379,2008-08-22,Sydney,15.0
30380,2008-08-23,Sydney,24.0
30381,2008-08-24,Sydney,24.0
30382,2008-08-25,Sydney,15.0
30383,2008-08-26,Sydney,19.0
30384,2008-08-27,Sydney,19.0
30385,2008-08-28,Sydney,13.0
30386,2008-08-29,Sydney,19.0
30387,2008-08-30,Sydney,13.0
30388,2008-08-31,Sydney,15.0
30389,2008-09-01,Sydney,7.0
30390,2008-09-02,Sydney,19.0
30391,2008-09-03,Sydney,22.0
30392,2008-09-04,Sydney,20.0
30393,2008-09-05,Sydney,28.0
30394,2008-09-06,Sydney,22.0
30395,2008-09-07,Sydney,15.0
30396,2008-09-08,Sydney,15.0
30397,2008-09-09,Sydney,13.0
30398,2008-09-10,Sydney,17.0
30399,2008-09-11,Sydney,15.0
30400,2008-09-12,Sydney,11.0
30401,2008-09-13,Sydney,4.0
30402,2008-09-14,Sydney,15.0
30403,2008-09-15,Sydney,28.0
30404,2008-09-16,Sydney,39.0
30405,2008-09-17,Sydney,15.0
30406,2008-09-18,Sydney,6.0
30407,2008-09-19,Sydney,0.0
30408,2008-09-20,Sydney,6.0
30409,2008-09-21,Sydney,9.0
30410,2008-09-22,Sydney,6.0
30411,2008-09-23,Sydney,17.0
30412,2008-09-24,Sydney,11.0
30413,2008-09-25,Sydney,6.0
30414,2008-09-26,Sydney,4.0
30415,2008-09-27,Sydney,7.0
30416,2008-09-28,Sydney,17.0
30417,2008-09-29,Sydney,19.0
30418,2008-09-30,Sydney,6.0
30419,2008-10-01,Sydney,9.0
30420,2008-10-02,Sydney,4.0
30421,2008-10-03,Sydney,15.0
30422,2008-10-04,Sydney,13.0
30423,2008-10-05,Sydney,11.0
30424,2008-10-06,Sydney,15.0
30425,2008-10-07,Sydney,22.0
30426,2008-10-08,Sydney,19.0
30427,2008-10-09,Sydney,17.0
30428,2008-10-10,Sydney,11.0
30429,2008-10-11,Sydney,6.0
30430,2008-10-12,Sydney,11.0
30431,2008-10-13,Sydney,6.0
30432,2008-10-14,Sydney,20.0
30433,2008-10-15,Sydney,20.0
30434,2008-10-16,Sydney,7.0
30435,2008-10-17,Sydney,7.0
30436,2008-10-18,Sydney,4.0
30437,2008-10-19,Sydney,6.0
30438,2008-10-20,Sydney,20.0
30439,2008-10-21,Sydney,26.0
30440,2008-10-22,Sydney,19.0
30441,2008-10-23,Sydney,24.0
30442,2008-10-24,Sydney,15.0
30443,2008-10-25,Sydney,17.0
30444,2008-10-26,Sydney,6.0
30445,2008-10-27,Sydney,6.0
30446,2008-10-28,Sydney,11.0
30447,2008-10-29,Sydney,11.0
30448,2008-10-30,Sydney,9.0
30449,2008-10-31,Sydney,17.0
30450,2008-11-01,Sydney,19.0
30451,2008-11-02,Sydney,11.0
30452,2008-11-03,Sydney,22.0
30453,2008-11-04,Sydney,22.0
30454,2008-11-05,Sydney,4.0
30455,2008-11-06,Sydney,9.0
30456,2008-11-07,Sydney,15.0
30457,2008-11-08,Sydney,24.0
30458,2008-11-09,Sydney,13.0
30459,2008-11-10,Sydney,2.0
30460,2008-11-11,Sydney,0.0
30461,2008-11-12,Sydney,6.0
30462,2008-11-13,Sydney,13.0
30463,2008-11-14,Sydney,13.0
30464,2008-11-15,Sydney,17.0
30465,2008-11-16,Sydney,20.0
30466,2008-11-17,Sydney,4.0
30467,2008-11-18,Sydney,22.0
30468,2008-11-19,Sydney,9.0
30469,2008-11-20,Sydney,15.0
30470,2008-11-21,Sydney,19.0
30471,2008-11-22,Sydney,31.0
30472,2008-11-23,Sydney,19.0
30473,2008-11-24,Sydney,19.0
30474,2008-11-25,Sydney,15.0
30475,2008-11-26,Sydney,7.0
30476,2008-11-27,Sydney,17.0
30477,2008-11-28,Sydney,24.0
30478,2008-11-29,Sydney,13.0
30479,2008-11-30,Sydney,13.0
30480,2008-12-01,Sydney,2.0
30481,2008-12-02,Sydney,6.0
30482,2008-12-03,Sydney,13.0
30483,2008-12-04,Sydney,20.0
30484,2008-12-05,Sydney,15.0
30485,2008-12-06,Sydney,13.0
30486,2008-12-07,Sydney,11.0
30487,2008-12-08,Sydney,19.0
30488,2008-12-09,Sydney,7.0
30489,2008-12-10,Sydney,35.0
30490,2008-12-11,Sydney,15.0
30491,2008-12-12,Sydney,13.0
30492,2008-12-13,Sydney,24.0
30493,2008-12-14,Sydney,33.0
30494,2008-12-15,Sydney,24.0
30495,2008-12-16,Sydney,13.0
30496,2008-12-17,Sydney,6.0
30497,2008-12-18,Sydney,13.0
30498,2008-12-19,Sydney,7.0
30499,2008-12-20,Sydney,26.0
30500,2008-12-21,Sydney,2.0
30501,2008-12-22,Sydney,22.0
30502,2008-12-23,Sydney,11.0
30503,2008-12-24,Sydney,17.0
30504,2008-12-25,Sydney,7.0
30505,2008-12-26,Sydney,4.0
30506,2008-12-27,Sydney,9.0
30507,2008-12-28,Sydney,4.0
30508,2008-12-29,Sydney,28.0
30509,2008-12-30,Sydney,9.0
30510,2008-12-31,Sydney,19.0
30511,2009-01-01,Sydney,11.0
30512,2009-01-02,Sydney,11.0
30513,2009-01-03,Sydney,13.0
30514,2009-01-04,Sydney,13.0
30515,2009-01-05,Sydney,6.0
30516,2009-01-06,Sydney,11.0
30517,2009-01-07,Sydney,6.0
30518,2009-01-08,Sydney,24.0
30519,2009-01-09,Sydney,22.0
30520,2009-01-10,Sydney,17.0
30521,2009-01-11,Sydney,19.0
30522,2009-01-12,Sydney,7.0
30523,2009-01-13,Sydney,7.0
30524,2009-01-14,Sydney,7.0
30525,2009-01-15,Sydney,7.0
30526,2009-01-16,Sydney,4.0
30527,2009-01-17,Sydney,26.0
30528,2009-01-18,Sydney,11.0
30529,2009-01-19,Sydney,15.0
30530,2009-01-20,Sydney,9.0
30531,2009-01-21,Sydney,11.0
30532,2009-01-22,Sydney,15.0
30533,2009-01-23,Sydney,9.0
30534,2009-01-24,Sydney,11.0
30535,2009-01-25,Sydney,15.0
30536,2009-01-26,Sydney,9.0
30537,2009-01-27,Sydney,9.0
30538,2009-01-28,Sydney,4.0
30539,2009-01-29,Sydney,4.0
30540,2009-01-30,Sydney,4.0
30541,2009-01-31,Sydney,7.0
30542,2009-02-01,Sydney,13.0
30543,2009-02-02,Sydney,4.0
30544,2009-02-03,Sydney,0.0
30545,2009-02-04,Sydney,6.0
30546,2009-02-05,Sydney,6.0
30547,2009-02-06,Sydney,6.0
30548,2009-02-07,Sydney,9.0
30549,2009-02-08,Sydney,9.0
30550,2009-02-09,Sydney,20.0
30551,2009-02-10,Sydney,6.0
30552,2009-02-11,Sydney,26.0
30553,2009-02-12,Sydney,19.0
30554,2009-02-13,Sydney,24.0
30555,2009-02-14,Sydney,30.0
30556,2009-02-15,Sydney,19.0
30557,2009-02-16,Sydney,19.0
30558,2009-02-17,Sydney,9.0
30559,2009-02-18,Sydney,19.0
30560,2009-02-19,Sydney,19.0
30561,2009-02-20,Sydney,2.0
30562,2009-02-21,Sydney,0.0
30563,2009-02-22,Sydney,13.0
30564,2009-02-23,Sydney,0.0
30565,2009-02-24,Sydney,11.0
30566,2009-02-25,Sydney,4.0
30567,2009-02-26,Sydney,11.0
30568,2009-02-27,Sydney,13.0
30569,2009-02-28,Sydney,7.0
30570,2009-03-01,Sydney,9.0
30571,2009-03-02,Sydney,0.0
30572,2009-03-03,Sydney,19.0
30573,2009-03-04,Sydney,4.0
30574,2009-03-05,Sydney,30.0
30575,2009-03-06,Sydney,15.0
30576,2009-03-07,Sydney,11.0
30577,2009-03-08,Sydney,11.0
30578,2009-03-09,Sydney,6.0
30579,2009-03-10,Sydney,17.0
30580,2009-03-11,Sydney,17.0
30581,2009-03-12,Sydney,4.0
30582,2009-03-13,Sydney,7.0
30583,2009-03-14,Sydney,2.0
30584,2009-03-15,Sydney,6.0
30585,2009-03-16,Sydney,17.0
30586,2009-03-17,Sydney,20.0
30587,2009-03-18,Sydney,11.0
30588,2009-03-19,Sydney,13.0
30589,2009-03-20,Sydney,0.0
30590,2009-03-21,Sydney,6.0
30591,2009-03-22,Sydney,11.0
30592,2009-03-23,Sydney,7.0
30593,2009-03-24,Sydney,6.0
30594,2009-03-25,Sydney,4.0
30595,2009-03-26,Sydney,2.0
30596,2009-03-27,Sydney,17.0
30597,2009-03-28,Sydney,9.0
30598,2009-03-29,Sydney,9.0
30599,2009-03-30,Sydney,7.0
30600,2009-03-31,Sydney,20.0
30601,2009-04-01,Sydney,28.0
30602,2009-04-02,Sydney,22.0
30603,2009-04-03,Sydney,0.0
30604,2009-04-04,Sydney,24.0
30605,2009-04-05,Sydney,9.0
30606,2009-04-06,Sydney,30.0
30607,2009-04-07,Sydney,11.0
30608,2009-04-08,Sydney,11.0
30609,2009-04-09,Sydney,9.0
30610,2009-04-10,Sydney,15.0
30611,2009-04-11,Sydney,0.0
30612,2009-04-12,Sydney,11.0
30613,2009-04-13,Sydney,15.0
30614,2009-04-14,Sydney,19.0
30615,2009-04-15,Sydney,11.0
30616,2009-04-16,Sydney,15.0
30617,2009-04-17,Sydney,13.0
30618,2009-04-18,Sydney,11.0
30619,2009-04-19,Sydney,20.0
30620,2009-04-20,Sydney,26.0
30621,2009-04-21,Sydney,33.0
30622,2009-04-22,Sydney,9.0
30623,2009-04-23,Sydney,15.0
30624,2009-04-24,Sydney,9.0
30625,2009-04-25,Sydney,11.0
30626,2009-04-26,Sydney,20.0
30627,2009-04-27,Sydney,28.0
30628,2009-04-28,Sydney,19.0
30629,2009-04-29,Sydney,20.0
30630,2009-04-30,Sydney,17.0
30631,2009-05-01,Sydney,17.0
30632,2009-05-02,Sydney,22.0
30633,2009-05-03,Sydney,7.0
30634,2009-05-04,Sydney,19.0
30635,2009-05-05,Sydney,13.0
30636,2009-05-06,Sydney,11.0
30637,2009-05-07,Sydney,20.0
30638,2009-05-08,Sydney,20.0
30639,2009-05-09,Sydney,19.0
30640,2009-05-10,Sydney,11.0
30641,2009-05-11,Sydney,15.0
30642,2009-05-12,Sydney,19.0
30643,2009-05-13,Sydney,22.0
30644,2009-05-14,Sydney,17.0
30645,2009-05-15,Sydney,15.0
30646,2009-05-16,Sydney,24.0
30647,2009-05-17,Sydney,15.0
30648,2009-05-18,Sydney,19.0
30649,2009-05-19,Sydney,15.0
30650,2009-05-20,Sydney,33.0
30651,2009-05-21,Sydney,
30652,2009-05-22,Sydney,
30653,2009-05-23,Sydney,
30654,2009-05-24,Sydney,
30655,2009-05-25,Sydney,
30656,2009-05-26,Sydney,
30657,2009-05-27,Sydney,15.0
30658,2009-05-28,Sydney,17.0
30659,2009-05-29,Sydney,20.0
30660,2009-05-30,Sydney,19.0
30661,2009-05-31,Sydney,24.0
30662,2009-06-01,Sydney,17.0
