,Year,WindSpeed9am,Location,Latitude,Longitude
0,2008,14.87462687,Sydney,-33.8688,151.2093
1,2009,14.13483146,Sydney,-33.8688,151.2093
2,2010,14.85470085,Sydney,-33.8688,151.2093
3,2011,15.72835821,Sydney,-33.8688,151.2093
4,2012,15.81137725,Sydney,-33.8688,151.2093
5,2013,15.13690476,Sydney,-33.8688,151.2093
6,2014,14.88493151,Sydney,-33.8688,151.2093
7,2015,14.93406593,Sydney,-33.8688,151.2093
8,2016,15.24863388,Sydney,-33.8688,151.2093
0,2008,22.50273224,Melbourne,-37.8136,144.9631
1,2009,20.43406593,Melbourne,-37.8136,144.9631
2,2010,19.3260274,Melbourne,-37.8136,144.9631
3,2011,19.98507463,Melbourne,-37.8136,144.9631
4,2012,21.16119403,Melbourne,-37.8136,144.9631
5,2013,21.97329377,Melbourne,-37.8136,144.9631
6,2014,20.6109589,Melbourne,-37.8136,144.9631
7,2015,19.39452055,Melbourne,-37.8136,144.9631
8,2016,13.69398907,Melbourne,-37.8136,144.9631
0,2008,9.304347826,Brisbane,-27.4705,153.026
1,2009,9.161643836,Brisbane,-27.4705,153.026
2,2010,7.126373626,Brisbane,-27.4705,153.026
3,2011,6.337313433,Brisbane,-27.4705,153.026
4,2012,6.014925373,Brisbane,-27.4705,153.026
5,2013,5.964391691,Brisbane,-27.4705,153.026
6,2014,6.679452055,Brisbane,-27.4705,153.026
7,2015,6.531506849,Brisbane,-27.4705,153.026
8,2016,6.669398907,Brisbane,-27.4705,153.026
0,2008,11.47282609,Perth,-31.9523,115.8613
1,2009,11.0739726,Perth,-31.9523,115.8613
2,2010,10.70684932,Perth,-31.9523,115.8613
3,2011,11.23880597,Perth,-31.9523,115.8613
4,2012,10.6358209,Perth,-31.9523,115.8613
5,2013,10.57566766,Perth,-31.9523,115.8613
6,2014,10.4630137,Perth,-31.9523,115.8613
7,2015,10.28493151,Perth,-31.9523,115.8613
8,2016,10.63387978,Perth,-31.9523,115.8613
0,2008,12.5801105,Adelaide,-34.9285,138.6007
1,2009,10.5260274,Adelaide,-34.9285,138.6007
2,2010,9.868493151,Adelaide,-34.9285,138.6007
3,2011,10.14328358,Adelaide,-34.9285,138.6007
4,2012,10.25970149,Adelaide,-34.9285,138.6007
5,2013,11.66765579,Adelaide,-34.9285,138.6007
6,2014,10.59726027,Adelaide,-34.9285,138.6007
7,2015,8.650137741,Adelaide,-34.9285,138.6007
8,2016,8.614754098,Adelaide,-34.9285,138.6007
0,2008,10.02506964,Canberra,-35.2802,149.131
1,2009,9.492890995,Canberra,-35.2802,149.131
2,2010,9.429508197,Canberra,-35.2802,149.131
3,2011,10.51796407,Canberra,-35.2802,149.131
4,2012,10.24624625,Canberra,-35.2802,149.131
5,2013,11.75149701,Canberra,-35.2802,149.131
6,2014,10.08219178,Canberra,-35.2802,149.131
7,2015,10.74725275,Canberra,-35.2802,149.131
8,2016,11.835616,Canberra,-35.2802,149.131
0,2008,18.27717391,Hobart,-42.8826,147.3257
1,2009,16.11232877,Hobart,-42.8826,147.3257
2,2010,15.98082192,Hobart,-42.8826,147.3257
3,2011,16.23283582,Hobart,-42.8826,147.3257
4,2012,15.32537313,Hobart,-42.8826,147.3257
5,2013,17.62017804,Hobart,-42.8826,147.3257
6,2014,15.64657534,Hobart,-42.8826,147.3257
7,2015,16.12054795,Hobart,-42.8826,147.3257
8,2016,17.07923497,Hobart,-42.8826,147.3257
0,2008,13.80978261,Darwin,-12.4637,130.8444
1,2009,14.37534247,Darwin,-12.4637,130.8444
2,2010,16.1369863,Darwin,-12.4637,130.8444
3,2011,15.87724551,Darwin,-12.4637,130.8444
4,2012,15.5761194,Darwin,-12.4637,130.8444
5,2013,15.71216617,Darwin,-12.4637,130.8444
6,2014,15.34246575,Darwin,-12.4637,130.8444
7,2015,15.36164384,Darwin,-12.4637,130.8444
8,2016,13.47945205,Darwin,-12.4637,130.8444
